# EvtID pe_px[MeV/c] pe_py[MeV/c] pe_pz[MeV/c] prec_px[MeV/c] prec_py[MeV/c] prec_pz[MeV/c] pidrec zvtx[cm] weight
53891 -1.2818099857e+02 1.1728106820e+03 3.7192932300e+03 4.3880803606e+02 6.2938411214e+01 -2.5400273972e+02 2212 -1.7336047331e+00 5.8150302590e-02
55429 -1.8671469596e+02 1.2351120499e+03 4.0693902313e+03 3.2694566949e+02 -1.7961417046e+01 -4.0211517351e+02 2212 -1.7425850809e+00 1.6125750495e-03
56004 -1.6523244658e+02 1.1403897074e+03 3.8078276497e+03 1.0373582315e+02 -1.0927766140e+01 -1.3675545492e+02 2212 -1.4855623124e+00 3.9579955498e+01
56319 -1.9437336449e+02 1.3812342012e+03 4.3829271577e+03 4.7285452516e+02 -5.9156060674e+01 -2.3737958950e+02 2212 -1.7574894645e+00 2.0910137088e-02
56642 4.7936610137e+01 1.3126606996e+03 4.2060785116e+03 1.6213403979e+02 4.0122347627e+01 -2.5760764768e+02 2212 -5.3469089670e+00 3.0661180567e-01
57007 6.4775995073e+00 1.2235023433e+03 3.9566818389e+03 2.0846965006e+02 -2.6591508124e+01 -2.0934126423e+02 2212 -5.1395660064e+00 1.2157835794e+00
57522 6.7188926862e+01 1.5245662634e+03 5.1273811265e+03 1.7300169695e+02 -6.0004863639e+00 -2.1572112427e+02 2212 -4.0400383000e+00 3.2538756146e-01
57707 1.7385957118e+02 1.2011691633e+03 3.9518498869e+03 4.9607063704e+02 -3.6601304261e+01 -2.6127577849e+02 2212 -1.3568012167e+00 2.4949103746e-02
57820 -7.1435147548e+01 1.6579759159e+03 5.2370536338e+03 4.3355063373e+02 -5.9490786013e+01 -1.4035123916e+02 2212 -4.9625428517e+00 1.6641238844e-02
58010 2.5343092012e+01 1.3175293581e+03 4.0779512626e+03 1.8729095245e+02 -3.5825974454e+01 -8.4633874758e+01 2212 -3.1650257455e+00 1.1085085705e+01
58206 5.6334767127e+01 1.4166210749e+03 4.7639359516e+03 2.5555478098e+02 -4.2020184177e+01 -2.0419305945e+02 2212 -3.6377560459e+00 3.1254966716e-01
58434 1.5022645846e+02 1.4252238144e+03 4.5743420276e+03 4.8494715949e+01 -5.0105508199e+00 -3.7062117007e+02 2212 -4.7951619730e+00 6.8132609064e-03
